,Vorname,Scope1,Scope2,Scope3,Scope1und2,Scope2und3,Scope1bis3,AbsSeiten,Jahr,Gewichtseinheit,NamePDF
40,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2020,tons,ACB - Annual Report for period end 31Dec2020 English PDF - 16-Sep-21.pdf
41,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2021,tons,ADSK - Annual Report for period end 31Jan2021 English PDF - 04-May-21.pdf
42,Rainer,"[1816.0, 1632.0]","[1024.0, 1840.0, 2195.0]","[449.0, 447.0]",[2427.0],[],[],"[[222], [222], [222], [223], [], []]",2018,tons,ahold-delhaize-annual-report-2018-interactive.pdf
43,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2018,tons,AI - Air Liquide SA (AI-FR) - Annual Report for period end 31-Dec-2018 (English) - PDF - 11-Apr-19 - Annual.pdf
44,Rainer,"[553063.0, 965633.0]","[412570.0, 965633.0]","[111666.0, 185500.0]",[],[],[],"[[217], [217], [217], [], [], []]",2018,t CO2,AIR - Airbus SE (EAD-NL) - Annual Report for period end 31-Dec-2018 (English) - PDF - 12-Apr-19 - Annual.pdf
45,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2021,tons,AIT - Annual Report for period end 30Jun2021 English PDF - 10-Sep-21.pdf
46,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2020,tons,AJG - Annual Report for period end 31Dec2020 English PDF - 25-Mar-21.pdf
47,Rainer,"[25.0, 28714.0]","[15.0, 100722.0, 180826.0]","[15.0, 73916.0, 23241052.0]","[50.0, 20.0]",[],[],"[[99, 41, 107, 22, 124], [107, 124], [107, 124], [41], [], []]",2020,tCO2e,Allianz_Group_Sustainability_Report_2020-web.pdf
48,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2020,tons,AMZN - Annual Report for period end 31Dec2020 English PDF - 15-Apr-21.pdf
49,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2020,tons,ANET - Annual Report for period end 31Dec2020 English PDF - 01-Jun-21.pdf
